24,M,student,472,87544
29,M,student,473,94708
51,M,executive,474,93711
30,M,programmer,475,75230
28,M,student,476,60440
23,F,student,477,02125
29,M,other,478,10019
30,M,educator,479,55409
57,M,retired,480,98257
73,M,retired,481,37771
18,F,student,482,40256
29,M,scientist,483,43212
27,M,student,484,21208
44,F,educator,485,95821
39,M,educator,486,93101
22,M,engineer,487,92121
48,M,technician,488,21012
55,M,other,489,45218
29,F,artist,490,V5A2B
43,F,writer,491,53711
57,M,educator,492,94618
22,M,engineer,493,60090
38,F,administrator,494,49428
29,M,engineer,495,03052
21,F,student,496,55414
20,M,student,497,50112
26,M,writer,498,55408
42,M,programmer,499,75006
28,M,administrator,500,94305
22,M,student,501,10025
22,M,student,502,23092
50,F,writer,503,27514
40,F,writer,504,92115
27,F,other,505,20657
46,M,programmer,506,03869
18,F,writer,507,28450
27,M,marketing,508,19382
23,M,administrator,509,10011
34,M,other,510,98038
22,M,student,511,21250
29,M,other,512,20090
43,M,administrator,513,26241
27,M,programmer,514,20707
53,M,marketing,515,49508
53,F,librarian,516,10021
24,M,student,517,55454
49,F,writer,518,99709
22,M,other,519,55320
62,M,healthcare,520,12603
19,M,student,521,02146
36,M,engineer,522,55443
50,F,administrator,523,04102
56,M,educator,524,02159
27,F,administrator,525,19711
30,M,marketing,526,97124
33,M,librarian,527,12180
18,M,student,528,55104
47,F,administrator,529,44224
29,M,engineer,530,94040
30,F,salesman,531,97408
20,M,student,532,92705
43,M,librarian,533,02324
20,M,student,534,05464
45,F,educator,535,80302
38,M,engineer,536,30078
36,M,engineer,537,22902
31,M,scientist,538,21010
53,F,administrator,539,80303
28,M,engineer,540,91201
19,F,student,541,84302
21,M,student,542,60515
33,M,scientist,543,95123
44,F,other,544,29464
27,M,technician,545,08052
36,M,executive,546,22911
50,M,educator,547,14534
51,M,writer,548,95468
42,M,scientist,549,45680
16,F,student,550,95453
25,M,programmer,551,55414
45,M,other,552,68147
58,M,educator,553,62901
32,M,scientist,554,62901
29,F,educator,555,23227
35,F,educator,556,30606
30,F,writer,557,11217
56,F,writer,558,63132
69,M,executive,559,10022
32,M,student,560,10003
23,M,engineer,561,60005
54,F,administrator,562,20879
39,F,librarian,563,32707
65,M,retired,564,94591
40,M,student,565,55422
20,M,student,566,14627
24,M,entertainment,567,10003
39,M,educator,568,01915
34,M,educator,569,91903
26,M,educator,570,14627
34,M,artist,571,01945
51,M,educator,572,20003
68,M,retired,573,48911
56,M,educator,574,53188
33,M,marketing,575,46032
48,M,executive,576,98281
36,F,student,577,77845
31,M,administrator,578,M7A1A
32,M,educator,579,48103
16,M,student,580,17961
37,M,other,581,94131
17,M,student,582,93003
44,M,engineer,583,29631
25,M,student,584,27511
69,M,librarian,585,98501
20,M,student,586,79508
26,M,other,587,14216
18,F,student,588,93063
21,M,lawyer,589,90034
50,M,educator,590,82435
57,F,librarian,591,92093
18,M,student,592,97520
31,F,educator,593,68767
46,M,educator,594,M4J2K
25,M,programmer,595,31909
20,M,artist,596,77073
23,M,other,597,84116
40,F,marketing,598,43085
22,F,student,599,R3T5K
34,M,programmer,600,02320
19,F,artist,601,99687
47,F,other,602,34656
21,M,programmer,603,47905
39,M,educator,604,11787
33,M,engineer,605,33716
28,M,programmer,606,63044
49,F,healthcare,607,02154
22,M,other,608,10003
13,F,student,609,55106
22,M,student,610,21227
46,M,librarian,611,77008
36,M,educator,612,79070
37,F,marketing,613,29678
54,M,educator,614,80227
38,M,educator,615,27705
55,M,scientist,616,50613
27,F,writer,617,11201
15,F,student,618,44212
17,M,student,619,44134
18,F,writer,620,81648
17,M,student,621,60402
25,M,programmer,622,14850
50,F,educator,623,60187
19,M,student,624,30067
27,M,programmer,625,20723
23,M,scientist,626,19807
24,M,engineer,627,08034
13,M,none,628,94306
46,F,other,629,44224
26,F,healthcare,630,55408
18,F,student,631,38866
18,M,student,632,55454
35,M,programmer,633,55414
39,M,engineer,634,T8H1N
22,M,other,635,23237
47,M,educator,636,48043
30,M,other,637,74101
45,M,engineer,638,01940
42,F,librarian,639,12065
20,M,student,640,61801
24,M,student,641,60626
18,F,student,642,95521
39,M,scientist,643,55122
51,M,retired,644,63645
27,M,programmer,645,53211
17,F,student,646,51250
40,M,educator,647,45810
43,M,engineer,648,91351
20,M,student,649,39762
42,M,engineer,650,83814
65,M,retired,651,02903
35,M,other,652,22911
31,M,executive,653,55105
27,F,student,654,78739
50,F,healthcare,655,60657
48,M,educator,656,10314
26,F,none,657,78704
33,M,programmer,658,92626
31,M,educator,659,54248
26,M,student,660,77380
28,M,programmer,661,98121
55,M,librarian,662,19102
26,M,other,663,19341
30,M,engineer,664,94115
25,M,administrator,665,55412
44,M,administrator,666,61820
35,M,librarian,667,01970
29,F,writer,668,10016
37,M,other,669,20009
30,M,technician,670,21114
21,M,programmer,671,91919
54,F,administrator,672,90095
51,M,educator,673,22906
13,F,student,674,55337
34,M,other,675,28814
30,M,programmer,676,32712
20,M,other,677,99835
50,M,educator,678,61462
20,F,student,679,54302
33,M,lawyer,680,90405
44,F,marketing,681,97208
23,M,programmer,682,55128
42,M,librarian,683,23509
28,M,student,684,55414
32,F,librarian,685,55409
32,M,educator,686,26506
31,F,healthcare,687,27713
37,F,administrator,688,60476
25,M,other,689,45439
35,M,salesman,690,63304
34,M,educator,691,60089
34,M,engineer,692,18053
43,F,healthcare,693,85210
60,M,programmer,694,06365
26,M,writer,695,38115
55,M,other,696,94920
25,M,other,697,77042
28,F,programmer,698,06906
44,M,other,699,96754
17,M,student,700,76309
51,F,librarian,701,56321
37,M,other,702,89104
26,M,educator,703,49512
51,F,librarian,704,91105
21,F,student,705,54494
23,M,student,706,55454
56,F,librarian,707,19146
26,F,homemaker,708,96349
21,M,other,709,N4T1A
19,M,student,710,92020
22,F,student,711,15203
22,F,student,712,54901
42,F,other,713,07204
26,M,engineer,714,55343
21,M,technician,715,91206
36,F,administrator,716,44265
24,M,technician,717,84105
42,M,technician,718,64118
37,F,other,719,V0R2H
49,F,administrator,720,16506
24,F,entertainment,721,11238
50,F,homemaker,722,17331
26,M,executive,723,94403
31,M,executive,724,40243
21,M,student,725,91711
25,F,administrator,726,80538
25,M,student,727,78741
58,M,executive,728,94306
19,M,student,729,56567
31,F,scientist,730,32114
41,F,educator,731,70403
28,F,other,732,98405
44,F,other,733,60630
25,F,other,734,63108
29,F,healthcare,735,85719
48,F,writer,736,94618
