MovieID|Title|AvgRatings|RatingCount|Time
243|Jungle2Jungle (1997)|2.4393939393939394|132|01-01-1998 23:15:47
678|Volcano (1997)|2.808219178082192|219|01-01-1998 23:15:47
264|Mimic (1997)|2.742574257425743|101|01-01-1998 23:17:52
323|Dante's Peak (1997)|2.933333333333333|240|01-01-1998 23:18:29
546|Broken Arrow (1996)|3.031496062992126|254|01-01-1998 23:31:22
240|Beavis and Butt-head Do America (1996)|2.7884615384615383|156|01-01-1998 23:31:52
1047|Multiplicity (1996)|2.8358208955223883|134|01-01-1998 23:34:39
411|Nutty Professor, The (1996)|2.914110429447853|163|01-01-1998 23:34:39
756|Father of the Bride Part II (1995)|2.8984375|128|01-01-1998 23:35:30
252|Lost World: Jurassic Park, The (1997)|2.9430379746835444|158|01-01-1998 23:36:47
926|Down Periscope (1996)|2.702970297029703|101|01-01-1998 23:37:11
476|First Wives Club, The (1996)|3.01875|160|01-01-1998 23:39:50
225|101 Dalmatians (1996)|2.908256880733945|109|01-01-1998 23:40:39
289|Evita (1996)|2.9806949806949805|259|01-02-1998 04:41:04
122|Cable Guy, The (1996)|2.339622641509434|106|01-02-1998 06:51:25
29|Batman Forever (1995)|2.6666666666666665|114|01-02-1998 07:30:28
38|Net, The (1995)|3.0083333333333333|120|01-02-1998 07:30:28
554|Waterworld (1995)|2.803921568627451|102|01-02-1998 07:33:14
358|Spawn (1997)|2.6153846153846154|143|01-02-1998 20:40:38
259|George of the Jungle (1997)|2.685185185185185|162|01-02-1998 20:42:53
235|Mars Attacks! (1996)|2.847926267281106|217|01-03-1998 06:24:04
231|Batman Returns (1992)|2.683098591549296|142|01-03-1998 06:35:13
260|Event Horizon (1997)|2.574803149606299|127|01-04-1998 03:50:17
325|Crash (1996)|2.546875|128|01-04-1998 15:43:59
53|Natural Born Killers (1994)|2.953125|128|01-04-1998 16:55:19
