MovieID|Title|AvgRatings|RatingCount|Time
1|Toy Story (1995)|3.8783185840707963|452|01-01-1998 19:03:04
2|GoldenEye (1995)|3.2061068702290076|131|01-02-1998 07:11:55
4|Get Shorty (1995)|3.550239234449761|209|01-03-1998 06:18:31
7|Twelve Monkeys (1995)|3.798469387755102|392|01-01-1998 00:55:55
8|Babe (1995)|3.9954337899543377|219|01-01-1998 23:44:52
9|Dead Man Walking (1995)|3.8963210702341136|299|01-01-1998 19:08:43
11|Seven (Se7en) (1995)|3.847457627118644|236|01-01-1998 23:47:34
12|Usual Suspects, The (1995)|4.385767790262173|267|01-02-1998 08:48:50
13|Mighty Aphrodite (1995)|3.4184782608695654|184|01-02-1998 09:06:38
14|Postino, Il (1994)|3.9672131147540983|183|01-01-1998 19:01:53
15|Mr. Holland's Opus (1995)|3.7781569965870307|293|01-01-1998 23:27:03
22|Braveheart (1995)|4.151515151515151|297|01-02-1998 20:38:18
23|Taxi Driver (1976)|4.1208791208791204|182|01-04-1998 03:34:25
24|Rumble in the Bronx (1995)|3.4482758620689653|174|01-01-1998 23:30:59
25|Birdcage, The (1996)|3.4436860068259385|293|01-02-1998 21:18:37
28|Apollo 13 (1995)|3.931159420289855|276|01-01-1998 23:45:24
29|Batman Forever (1995)|2.6666666666666665|114|01-02-1998 07:30:28
31|Crimson Tide (1995)|3.6298701298701297|154|01-04-1998 13:54:35
38|Net, The (1995)|3.0083333333333333|120|01-02-1998 07:30:28
42|Clerks (1994)|3.804054054054054|148|01-01-1998 23:45:24
47|Ed Wood (1994)|3.601503759398496|133|01-04-1998 16:06:31
48|Hoop Dreams (1994)|4.094017094017094|117|01-01-1998 15:19:06
50|Star Wars (1977)|4.3584905660377355|583|01-01-1998 00:57:34
53|Natural Born Killers (1994)|2.953125|128|01-04-1998 16:55:19
54|Outbreak (1995)|3.2403846153846154|104|01-04-1998 13:16:47
55|Professional, The (1994)|3.704697986577181|149|01-03-1998 07:30:17
56|Pulp Fiction (1994)|4.060913705583756|394|01-01-1998 15:21:37
