MovieID|Title|AvgRatings|RatingCount|Time
127|Godfather, The (1972)|4.283292978208232|413|01-01-1998 00:55:33
50|Star Wars (1977)|4.3584905660377355|583|01-01-1998 00:57:34
98|Silence of the Lambs, The (1991)|4.28974358974359|390|01-01-1998 15:21:37
285|Secrets & Lies (1996)|4.265432098765432|162|01-01-1998 19:08:43
313|Titanic (1997)|4.2457142857142856|350|01-01-1998 19:08:43
64|Shawshank Redemption, The (1994)|4.445229681978798|283|01-01-1998 23:47:11
318|Schindler's List (1993)|4.466442953020135|298|01-01-1998 23:49:40
272|Good Will Hunting (1997)|4.262626262626263|198|01-02-1998 04:38:37
484|Maltese Falcon, The (1941)|4.2101449275362315|138|01-02-1998 05:16:37
474|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|4.252577319587629|194|01-02-1998 07:18:53
134|Citizen Kane (1941)|4.292929292929293|198|01-02-1998 08:42:40
511|Lawrence of Arabia (1962)|4.23121387283237|173|01-02-1998 08:42:40
174|Raiders of the Lost Ark (1981)|4.252380952380952|420|01-02-1998 08:43:55
480|North by Northwest (1959)|4.284916201117318|179|01-02-1998 08:45:58
169|Wrong Trousers, The (1993)|4.466101694915254|118|01-02-1998 08:48:13
12|Usual Suspects, The (1995)|4.385767790262173|267|01-02-1998 08:48:50
178|12 Angry Men (1957)|4.344|125|01-02-1998 08:49:26
483|Casablanca (1942)|4.45679012345679|243|01-02-1998 08:51:08
427|To Kill a Mockingbird (1962)|4.292237442922374|219|01-02-1998 08:51:30
408|Close Shave, A (1995)|4.491071428571429|112|01-02-1998 08:53:09
357|One Flew Over the Cuckoo's Nest (1975)|4.291666666666667|264|01-02-1998 08:53:09
479|Vertigo (1958)|4.251396648044692|179|01-02-1998 08:54:35
172|Empire Strikes Back, The (1980)|4.204359673024523|367|01-02-1998 09:02:37
603|Rear Window (1954)|4.3875598086124405|209|01-02-1998 20:59:30
657|Manchurian Candidate, The (1962)|4.259541984732825|131|01-04-1998 02:27:47
